N,B,P,C,Time
100,4,1,1,0.001663
100,4,1,2,0.001886
100,4,1,3,0.002291
100,4,2,1,0.001893
100,4,3,1,0.002173
100,8,1,1,0.001714
100,8,1,2,0.001953
100,8,1,3,0.002270
100,8,2,1,0.001863
100,8,3,1,0.002219
398,8,1,1,0.003084
398,8,1,2,0.003582
398,8,1,3,0.004163
398,8,2,1,0.003198
398,8,3,1,0.003477
-------------Deviation------------
N,B,P,C,Time
100,4,1,1,0.001060
100,4,1,2,0.001185
100,4,1,3,0.001465
100,4,2,1,0.001269
100,4,3,1,0.001436
100,8,1,1,0.001144
100,8,1,2,0.001249
100,8,1,3,0.001492
100,8,2,1,0.001279
100,8,3,1,0.001419
398,8,1,1,0.001724
398,8,1,2,0.001830
398,8,1,3,0.002037
398,8,2,1,0.001605
398,8,3,1,0.001572
