N,B,P,C,Time
100,4,1,1,0.000647
100,4,1,2,0.000746
100,4,1,3,0.000879
100,4,2,1,0.000681
100,4,3,1,0.000790
100,8,1,1,0.000624
100,8,1,2,0.000760
100,8,1,3,0.000834
100,8,2,1,0.000641
100,8,3,1,0.000869
398,8,1,1,0.001493
398,8,1,2,0.001809
398,8,1,3,0.002193
398,8,2,1,0.001672
398,8,3,1,0.002011
-------------Deviation------------
N,B,P,C,Time
100,4,1,1,0.000266
100,4,1,2,0.000250
100,4,1,3,0.000212
100,4,2,1,0.000300
100,4,3,1,0.000297
100,8,1,1,0.000286
100,8,1,2,0.000266
100,8,1,3,0.000252
100,8,2,1,0.000291
100,8,3,1,0.000412
398,8,1,1,0.000410
398,8,1,2,0.000250
398,8,1,3,0.000365
398,8,2,1,0.000411
398,8,3,1,0.000508
